bank_txn_id,utr,amount,value_date,narration,settlement_ref
bank_ch_0001,UTR000000000001,2441.0,2026-07-02,NEFT CR settlement setl_CH0001,setl_CH0001
bank_ch_0002,UTR000000000002,975.42,2026-07-02,NEFT CR settlement setl_CH0002,setl_CH0002
bank_ch_0003,UTR000000000003,4881.02,2026-07-02,NEFT CR settlement setl_CH0003,setl_CH0003
bank_ch_0004,UTR000000000004,5858.4,2026-07-02,NEFT CR settlement setl_CH0010,setl_CH0010
bank_ch_0005,UTR000000000005,932.46,2026-07-02,NEFT CR settlement setl_CH0011,setl_CH0011
bank_ch_0006,UTR000000000006,486.84,2026-07-02,NEFT CR settlement setl_CH0012,setl_CH0012
bank_ch_0007,UTR000000000007,974.94,2026-07-02,NEFT CR settlement setl_CH0013,setl_CH0013
bank_ch_0008,UTR000000000008,2440.02,2026-07-02,NEFT CR settlement setl_CH0020,setl_CH0020
bank_ch_0009,UTR000000000009,2440.51,2026-07-02,NEFT CR settlement setl_CH0021,setl_CH0021
bank_ch_0010,UTR000000000010,2929.2,2026-07-02,NEFT CR settlement setl_CH0030,setl_CH0030
bank_ch_0011,UTR000000000011,781.12,2026-07-02,NEFT CR settlement setl_CH0031,setl_CH0031
bank_ch_0012,UTR000000000012,1171.68,2026-07-02,NEFT CR settlement setl_CH0032,setl_CH0032
bank_ch_0013,UTR000000000013,1757.52,2026-07-10,NEFT CR settlement setl_CH0042,setl_CH0042
bank_ch_0014,UTR000000000014,4762.0,2026-07-02,NEFT CR settlement setl_CH0050,setl_CH0050
bank_ch_0015,UTR000000000015,2421.0,2026-07-02,NEFT CR settlement setl_CH0051,setl_CH0051
bank_ch_0016,UTR000000000016,2400.0,2026-07-02,NEFT CR settlement setl_CH0052,setl_CH0052
bank_ch_0017,UTR000000000017,3913.6,2026-07-02,NEFT CR settlement setl_CH0060,setl_CH0060
bank_ch_0018,UTR000000000018,1465.1,2026-07-02,NEFT CR settlement setl_CH0061,setl_CH0061
bank_ch_0019,UTR000000000019,1952.8,2026-07-02,NEFT CR settlement setl_CH0070,setl_CH0070
bank_ch_0020,UTR000000000020,2538.64,2026-07-02,NEFT CR settlement setl_CH0071,setl_CH0071
bank_ch_0021,UTR000000000021,-2538.64,2026-07-07,REFUND DR settlement setl_CH0071,setl_CH0071
bank_ch_0022,UTR000000000022,3124.48,2026-07-02,NEFT CR settlement setl_CH0072,setl_CH0072
bank_ch_0023,UTR000000000023,-3124.48,2026-07-07,REFUND reversal ref pay_CH0072 setl setl_CH0072,setl_CH0072
bank_ch_0024,UTR000000000024,4393.8,2026-07-02,NEFT CR settlement setl_CH0080,setl_CH0080
bank_ch_0025,UTR000000000025,-4393.8,2026-07-08,CHARGEBACK DR ref pay_CH0080 setl setl_CH0080,setl_CH0080
bank_ch_0026,UTR000000000026,5077.28,2026-07-02,NEFT CR settlement setl_CH0081,setl_CH0081
bank_ch_0027,UTR000000000027,-5077.28,2026-07-09,CHARGEBACK DR dispute UTR009988 setl setl_CH0081,setl_CH0081
bank_ch_0028,UTR000000000028,8800.0,2026-07-04,NEFT CR unmapped setl_orphan_CH0090,setl_orphan_CH0090
bank_ch_0029,UTR000000000029,2685.1,2026-07-02,NEFT CR settlement SETL_CH0091,SETL_CH0091
bank_ch_0030,UTR000000000030,3026.84,2026-07-02,NEFT CR settlement setl_CH0092 incl ORD99999 batch,setl_CH0092
