entity_type,entity_id,label,subtype
ORDER,CH0001,NONE,clean_match
ORDER,CH0002,NONE,clean_match
ORDER,CH0003,NONE,clean_match
ORDER,CH0010,AMOUNT_MISMATCH,partial_capture_large
ORDER,CH0011,AMOUNT_MISMATCH,partial_capture_boundary
ORDER,CH0012,NONE,rounding_within_tolerance
ORDER,CH0013,AMOUNT_MISMATCH,shortfall_under_tolerance
ORDER,CH0020,NONE,near_identical_amount
ORDER,CH0021,NONE,near_identical_amount
ORDER,CH0030,DUPLICATE_PAYMENT,true_double_charge
ORDER,CH0031,NONE,idempotent_retry_same_id
ORDER,CH0032,NONE,failed_attempt_ignored
ORDER,CH0040,MISSING_SETTLEMENT,never_settled
ORDER,CH0041,NONE,settlement_next_cycle
ORDER,CH0042,NONE,delayed_but_present
ORDER,CH0050,FEE_MISMATCH,fee_error_large
ORDER,CH0051,FEE_MISMATCH,fee_error_grayband
ORDER,CH0052,FEE_MISMATCH,wrong_gst_base
ORDER,CH0060,NONE,fx_drift_clean
ORDER,CH0061,NONE,fx_drift_subrupee
ORDER,CH0070,REFUND_NOT_REFLECTED,refund_not_reflected
ORDER,CH0071,NONE,refund_reflected_clean
ORDER,CH0072,NONE,refund_looks_like_chargeback
ORDER,CH0080,CHARGEBACK,chargeback_with_ref
ORDER,CH0081,CHARGEBACK,chargeback_no_payment_ref
BANK_TXN,bank_ch_0028,UNMATCHED_BANK_CREDIT,true_orphan_credit
ORDER,CH0091,NONE,settlement_ref_case_mismatch
BANK_TXN,bank_ch_0029,NONE,settlement_ref_case_mismatch
ORDER,CH0092,NONE,confusing_narration_correct_ref
ORDER,CH0100,MISSING_PAYMENT,order_without_capture
