order_id,expected_payment_id,amount,currency,created_at,status,method
CH0001,pay_CH0001,2500.0,INR,2026-07-01,paid,upi
CH0002,pay_CH0002,999.0,INR,2026-07-01,paid,upi
CH0003,pay_CH0003,4999.0,INR,2026-07-01,paid,upi
CH0010,pay_CH0010,10000.0,INR,2026-07-01,paid,upi
CH0011,pay_CH0011,1000.0,INR,2026-07-01,paid,upi
CH0012,pay_CH0012,500.0,INR,2026-07-01,paid,upi
CH0013,pay_CH0013,1000.0,INR,2026-07-01,paid,upi
CH0020,pay_CH0020,2499.0,INR,2026-07-01,paid,upi
CH0021,pay_CH0021,2499.5,INR,2026-07-01,paid,upi
CH0030,pay_CH0030,1500.0,INR,2026-07-01,paid,upi
CH0031,pay_CH0031,800.0,INR,2026-07-01,paid,upi
CH0032,pay_CH0032,1200.0,INR,2026-07-01,paid,upi
CH0040,pay_CH0040,3000.0,INR,2026-07-01,paid,upi
CH0041,pay_CH0041,2200.0,INR,2026-07-01,paid,upi
CH0042,pay_CH0042,1800.0,INR,2026-07-01,paid,upi
CH0050,pay_CH0050,5000.0,INR,2026-07-01,paid,upi
CH0051,pay_CH0051,2500.0,INR,2026-07-01,paid,upi
CH0052,pay_CH0052,3000.0,INR,2026-07-01,paid,upi
CH0060,pay_CH0060,4000.0,INR,2026-07-01,paid,upi
CH0061,pay_CH0061,1500.0,INR,2026-07-01,paid,upi
CH0070,pay_CH0070,2000.0,INR,2026-07-01,paid,upi
CH0071,pay_CH0071,2600.0,INR,2026-07-01,refunded,upi
CH0072,pay_CH0072,3200.0,INR,2026-07-01,refunded,upi
CH0080,pay_CH0080,4500.0,INR,2026-07-01,paid,upi
CH0081,pay_CH0081,5200.0,INR,2026-07-01,paid,upi
CH0091,pay_CH0091,2750.0,INR,2026-07-01,paid,upi
CH0092,pay_CH0092,3100.0,INR,2026-07-01,paid,upi
CH0100,pay_CH0100,1750.0,INR,2026-07-01,paid,upi
