payment_id,order_id,amount,fee,tax,net_amount,settlement_id,settled_at,method,status
pay_CH0001,CH0001,2500.0,50.0,9.0,2441.0,setl_CH0001,2026-07-02,upi,captured
pay_CH0002,CH0002,999.0,19.98,3.6,975.42,setl_CH0002,2026-07-02,upi,captured
pay_CH0003,CH0003,4999.0,99.98,18.0,4881.02,setl_CH0003,2026-07-02,upi,captured
pay_CH0010,CH0010,6000.0,120.0,21.6,5858.4,setl_CH0010,2026-07-02,upi,captured
pay_CH0011,CH0011,955.0,19.1,3.44,932.46,setl_CH0011,2026-07-02,upi,captured
pay_CH0012,CH0012,498.6,9.97,1.79,486.84,setl_CH0012,2026-07-02,upi,captured
pay_CH0013,CH0013,998.5,19.97,3.59,974.94,setl_CH0013,2026-07-02,upi,captured
pay_CH0020,CH0020,2499.0,49.98,9.0,2440.02,setl_CH0020,2026-07-02,upi,captured
pay_CH0021,CH0021,2499.5,49.99,9.0,2440.51,setl_CH0021,2026-07-02,upi,captured
pay_CH0030a,CH0030,1500.0,30.0,5.4,1464.6,setl_CH0030,2026-07-02,upi,captured
pay_CH0030b,CH0030,1500.0,30.0,5.4,1464.6,setl_CH0030,2026-07-02,upi,captured
pay_CH0031,CH0031,800.0,16.0,2.88,781.12,setl_CH0031,2026-07-02,upi,captured
pay_CH0031,CH0031,800.0,16.0,2.88,781.12,setl_CH0031,2026-07-02,upi,captured
pay_CH0032,CH0032,1200.0,24.0,4.32,1171.68,setl_CH0032,2026-07-02,upi,captured
pay_CH0032f,CH0032,1200.0,24.0,4.32,1171.68,,,upi,failed
pay_CH0040,CH0040,3000.0,60.0,10.8,2929.2,,,upi,captured
pay_CH0041,CH0041,2200.0,44.0,7.92,2148.08,setl_CH0041_pending,2026-07-02,upi,captured
pay_CH0042,CH0042,1800.0,36.0,6.48,1757.52,setl_CH0042,2026-07-02,upi,captured
pay_CH0050,CH0050,5000.0,100.0,18.0,4762.0,setl_CH0050,2026-07-02,upi,captured
pay_CH0051,CH0051,2500.0,50.0,9.0,2421.0,setl_CH0051,2026-07-02,upi,captured
pay_CH0052,CH0052,3000.0,60.0,10.8,2400.0,setl_CH0052,2026-07-02,upi,captured
pay_CH0060,CH0060,4000.0,80.0,14.4,3913.6,setl_CH0060,2026-07-02,upi,captured
pay_CH0061,CH0061,1500.0,30.0,5.4,1465.1,setl_CH0061,2026-07-02,upi,captured
pay_CH0070,CH0070,2000.0,40.0,7.2,1952.8,setl_CH0070,2026-07-02,upi,refunded
pay_CH0071,CH0071,2600.0,52.0,9.36,2538.64,setl_CH0071,2026-07-02,upi,refunded
pay_CH0072,CH0072,3200.0,64.0,11.52,3124.48,setl_CH0072,2026-07-02,upi,refunded
pay_CH0080,CH0080,4500.0,90.0,16.2,4393.8,setl_CH0080,2026-07-02,upi,captured
pay_CH0081,CH0081,5200.0,104.0,18.72,5077.28,setl_CH0081,2026-07-02,upi,captured
pay_CH0091,CH0091,2750.0,55.0,9.9,2685.1,setl_CH0091,2026-07-02,upi,captured
pay_CH0092,CH0092,3100.0,62.0,11.16,3026.84,setl_CH0092,2026-07-02,upi,captured
